Datatype,Varname,Size,Comment
Int_t,Size,,
Int_t,Index,MAX_JETS,

Int_t,NTracks,MAX_JETS,
Float_t,Et,MAX_JETS,
Float_t,Pt,MAX_JETS,
Float_t,Eta,MAX_JETS,
Float_t,Phi,MAX_JETS,
Float_t,Px,MAX_JETS,
Float_t,Py,MAX_JETS,
Float_t,Pz,MAX_JETS,
Float_t,Energy,MAX_JETS,
Float_t,Mass,MAX_JETS,
Float_t,Area,MAX_JETS,
Int_t,JetIDLOOSE,MAX_JETS,
Float_t,JetCharge,MAX_JETS,
Int_t,NConstituents,MAX_JETS,

Float_t,Pt_MuonCleaned,MAX_JETS,
Float_t,Eta_MuonCleaned,MAX_JETS,
Float_t,Phi_MuonCleaned,MAX_JETS,
Float_t,Energy_MuonCleaned,MAX_JETS,

Float_t,Unc,MAX_JETS,
Float_t,JesUnc,MAX_JETS,
Float_t,JERPt,MAX_JETS,
Float_t,JERPhi,MAX_JETS,
Float_t,JERScale,MAX_JETS,

Float_t,QGTagsLikelihood,MAX_JETS,
Float_t,QGTagsAxis2,MAX_JETS,
Float_t,QGTagsMult,MAX_JETS,
Float_t,QGTagsPtD,MAX_JETS,

Int_t,NCH,MAX_JETS,
Float_t,CEF,MAX_JETS,
Float_t,NHF,MAX_JETS,
Float_t,NEF,MAX_JETS,
Float_t,CHF,MAX_JETS,

Float_t,PtCorrRaw,MAX_JETS,
Float_t,PtCorrL2,MAX_JETS,
Float_t,PtCorrL3,MAX_JETS,

Float_t,combinedSecondaryVertexBJetTags,MAX_JETS,
Float_t,pfJetBProbabilityBJetTags,MAX_JETS,
Float_t,pfJetProbabilityBJetTags,MAX_JETS,
Float_t,pfTrackCountingHighPurBJetTags,MAX_JETS,
Float_t,pfTrackCountingHighEffBJetTags,MAX_JETS,
Float_t,pfSimpleSecondaryVertexHighEffBJetTags,MAX_JETS,
Float_t,pfSimpleSecondaryVertexHighPurBJetTags,MAX_JETS,
Float_t,pfCombinedSecondaryVertexV2BJetTags,MAX_JETS,
Float_t,pfCombinedInclusiveSecondaryVertexV2BJetTags,MAX_JETS,
Float_t,pfCombinedSecondaryVertexSoftLeptonBJetTags,MAX_JETS,
Float_t,pfCombinedMVABJetTags,MAX_JETS,
Float_t,pfBoostedDoubleSecondaryVertexAK8BJetTags,MAX_JETS,

Float_t,GenJetPt,MAX_JETS,
Float_t,GenJetEta,MAX_JETS,
Float_t,GenJetPhi,MAX_JETS,
Float_t,GenPt,MAX_JETS,
Float_t,GenEta,MAX_JETS,
Float_t,GenPhi,MAX_JETS,
Int_t,GenPdgID,MAX_JETS,
Int_t,GenFlavor,MAX_JETS,
Int_t,GenHadronFlavor,MAX_JETS,
Int_t,GenMCTag,MAX_JETS,// 0:unknown 1:decay from W 2:decay from Z (+10)from b' (+20)from t'

Int_t,NSubjets,MAX_JETS,
Int_t,SubjetsIdxStart,MAX_JETS,
Float_t,NjettinessAK8tau1,MAX_JETS,
Float_t,NjettinessAK8tau2,MAX_JETS,
Float_t,NjettinessAK8tau3,MAX_JETS,
Float_t,ak8PFJetsCHSSoftDropMass,MAX_JETS,
Float_t,ak8PFJetsCHSPrunedMass,MAX_JETS,
Float_t,ak8PFJetsCHSTrimmedMass,MAX_JETS,
Float_t,ak8PFJetsCHSFilteredMass,MAX_JETS,
Float_t,topJetMass,MAX_JETS,
Float_t,ca8TopMass,MAX_JETS,
Float_t,ca8MinMass,MAX_JETS,

std::vector<Float_t>*,SubjetMass,,
std::vector<Float_t>*,SubjetPt,,
std::vector<Float_t>*,SubjetEt,,
std::vector<Float_t>*,SubjetEta,,
std::vector<Float_t>*,SubjetPhi,,
std::vector<Float_t>*,SubjetArea,,
std::vector<Float_t>*,SubjetPtUncorr,,
std::vector<Float_t>*,SubjetCombinedSVBJetTags,,
std::vector<Float_t>*,SubjetGenPdgId,,
std::vector<Float_t>*,SubjetGenFlavour,,
std::vector<Float_t>*,SubjetHadronFlavour,,
std::vector<Float_t>,SubjetMass_w,,
std::vector<Float_t>,SubjetPt_w,,
std::vector<Float_t>,SubjetEt_w,,
std::vector<Float_t>,SubjetEta_w,,
std::vector<Float_t>,SubjetPhi_w,,
std::vector<Float_t>,SubjetArea_w,,
std::vector<Float_t>,SubjetPtUncorr_w,,
std::vector<Float_t>,SubjetCombinedSVBJetTags_w,,
std::vector<Float_t>,SubjetGenPdgId_w,,
std::vector<Float_t>,SubjetGenFlavour_w,,
std::vector<Float_t>,SubjetHadronFlavour_w,,

Float_t,TempPt1,MAX_JETS,
Float_t,TempEta1,MAX_JETS,
Float_t,TempPhi1,MAX_JETS,
Float_t,TempEnergy1,MAX_JETS,

Float_t,TempPt2,MAX_JETS,
Float_t,TempEta2,MAX_JETS,
Float_t,TempPhi2,MAX_JETS,
Float_t,TempEnergy2,MAX_JETS,

Float_t,TempFloat1,MAX_JETS,
Float_t,TempFloat2,MAX_JETS,
Float_t,TempFloat3,MAX_JETS,
Float_t,TempFloat4,MAX_JETS,
