Datatype,Varname,Size,Comment
Int_t,Size,,
Int_t,Index,MAX_LEPTONS,

Int_t,LeptonType,MAX_LEPTONS,
Int_t,Charge,MAX_LEPTONS,
Float_t,Pt,MAX_LEPTONS,
Float_t,Et,MAX_LEPTONS,
Float_t,Eta,MAX_LEPTONS,
Float_t,Phi,MAX_LEPTONS,
Float_t,Px,MAX_LEPTONS,
Float_t,Py,MAX_LEPTONS,
Float_t,Pz,MAX_LEPTONS,
Float_t,Energy,MAX_LEPTONS,
Float_t,TrackIso,MAX_LEPTONS,
Float_t,EcalIso,MAX_LEPTONS,
Float_t,HcalIso,MAX_LEPTONS,
Float_t,ChargedHadronIso,MAX_LEPTONS,
Float_t,NeutralHadronIso,MAX_LEPTONS,
Float_t,PhotonIso,MAX_LEPTONS,
Float_t,SumPUPt,MAX_LEPTONS,
Float_t,ChargedHadronIsoR03,MAX_LEPTONS,
Float_t,NeutralHadronIsoR03,MAX_LEPTONS,
Float_t,PhotonIsoR03,MAX_LEPTONS,
Float_t,sumPUPtR03,MAX_LEPTONS,
Float_t,IsoRhoCorrR03,MAX_LEPTONS,
Float_t,ChargedHadronIsoR04,MAX_LEPTONS,
Float_t,NeutralHadronIsoR04,MAX_LEPTONS,
Float_t,PhotonIsoR04,MAX_LEPTONS,
Float_t,sumPUPtR04,MAX_LEPTONS,
Float_t,IsoRhoCorrR04,MAX_LEPTONS,
Float_t,Ip3dPV,MAX_LEPTONS,
Float_t,Ip3dPVErr,MAX_LEPTONS,
Float_t,Ip3dPVSignificance,MAX_LEPTONS,
Float_t,MiniIso,MAX_LEPTONS,

Float_t,CaloEnergy,MAX_LEPTONS,
Bool_t,isGoodMuonTMOneStationTight,MAX_LEPTONS,For Soft Muon
Bool_t,isPFMuon,MAX_LEPTONS,
Bool_t,MuIDGlobalMuonPromptTight,MAX_LEPTONS,
Float_t,MuGlobalNormalizedChi2,MAX_LEPTONS,
Float_t,MuCaloCompat,MAX_LEPTONS,
Int_t,MuNChambers,MAX_LEPTONS,
Int_t,MuNChambersMatchesSegment,MAX_LEPTONS,
Int_t,MuNMatchedStations,MAX_LEPTONS,
Int_t,MuNLostOuterHits,MAX_LEPTONS,
Int_t,MuNMuonhits,MAX_LEPTONS,
Int_t,MuDThits,MAX_LEPTONS,
Int_t,MuCSChits,MAX_LEPTONS,
Int_t,MuRPChits,MAX_LEPTONS,
Int_t,MuType,MAX_LEPTONS,
Int_t,MuontimenDof,MAX_LEPTONS,
Float_t,MuontimeAtIpInOut,MAX_LEPTONS,
Float_t,MuontimeAtIpOutIn,MAX_LEPTONS,
Int_t,Muondirection,MAX_LEPTONS,
Float_t,innerTracknormalizedChi2,MAX_LEPTONS,For Soft Muon
Float_t,MuInnerPtError,MAX_LEPTONS,
Float_t,MuGlobalPtError,MAX_LEPTONS,
Float_t,MuInnerTrackDz,MAX_LEPTONS,
Float_t,MuInnerTrackD0,MAX_LEPTONS,
Float_t,MuInnerTrackDxy_BS,MAX_LEPTONS,
Float_t,MuInnerTrackDxy_PV,MAX_LEPTONS,
